City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
256,Port-Gentil,GA,-0.7193,8.7815,80.58,78,85,4.32,overcast clouds
257,Yulara,AU,-25.2406,130.9889,73.24,23,0,3.44,clear sky
258,Westport,US,41.1415,-73.3579,43.9,94,75,5.01,broken clouds
259,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,32.59,40,0,17.9,clear sky
260,Mitsamiouli,KM,-11.3847,43.2844,81.41,75,8,2.68,light rain
261,Nanortalik,GL,60.1432,-45.2371,35.2,81,100,5.37,overcast clouds
262,Coquimbo,CL,-29.9533,-71.3436,61.39,83,45,2.48,scattered clouds
263,Gamba,GA,-2.65,10.0,76.44,94,97,1.32,overcast clouds
264,Sitka,US,57.0531,-135.33,40.89,75,75,14.97,broken clouds
265,Bonthe,SL,7.5264,-12.505,76.42,78,37,6.62,scattered clouds
266,Roald,NO,62.5833,6.1333,37.76,100,100,0.0,light snow
267,Pundaguitan,PH,6.3711,126.1689,81.57,76,100,6.2,overcast clouds
268,Apastovo,RU,55.2029,48.5109,32.4,85,100,6.49,overcast clouds
269,Bengkulu,ID,-3.8004,102.2655,78.84,72,36,3.02,scattered clouds
270,San Patricio,US,28.017,-97.5169,77.09,71,97,12.93,overcast clouds
271,Olyka,UA,50.7186,25.8125,29.93,89,16,9.55,few clouds
272,Cap Malheureux,MU,-19.9842,57.6142,79.47,81,8,7.0,clear sky
273,Itarema,BR,-2.9248,-39.9167,76.8,92,82,8.61,light rain
274,Zharkovskiy,RU,55.849,32.2697,23.92,89,54,3.44,broken clouds
275,Hambantota,LK,6.1241,81.1185,75.54,100,75,3.44,broken clouds
276,Revda,RU,56.801,59.9303,40.62,94,52,11.18,broken clouds
277,Komsomolskiy,UZ,40.4272,71.7189,54.32,62,100,6.91,overcast clouds
278,Bacsbokod,HU,46.125,19.1562,29.75,79,88,6.42,overcast clouds
279,Souillac,MU,-20.5167,57.5167,79.18,83,75,10.36,broken clouds
280,Ibb,YE,13.9667,44.1833,62.35,39,0,2.82,clear sky
281,Sinnamary,GF,5.3833,-52.95,77.43,89,100,11.03,light rain
282,Tautira,PF,-17.7333,-149.15,82.44,72,14,12.59,few clouds
283,Keffi,NG,8.8486,7.8736,82.49,46,100,4.18,overcast clouds
284,Sagauli,IN,26.7833,84.7333,77.29,65,0,8.14,clear sky
285,Gorahun,SL,7.4661,-11.2375,73.6,92,38,1.48,scattered clouds
286,Sorland,NO,67.667,12.6934,31.89,87,63,24.96,light snow
287,Karratha,AU,-20.7377,116.8463,85.06,57,0,9.95,clear sky
288,Rio Cuarto,AR,-33.1307,-64.3499,56.97,44,0,3.44,clear sky
289,Maniitsoq,GL,65.4167,-52.9,28.24,84,9,5.17,clear sky
290,Grammichele,IT,37.2123,14.6397,49.95,85,100,5.99,overcast clouds
291,Pangnirtung,CA,66.1451,-65.7125,23.59,92,100,1.14,overcast clouds
292,Ardmore,US,34.1743,-97.1436,78.58,36,0,12.66,clear sky
293,Alekseyevsk,RU,57.8406,108.3492,15.44,91,100,5.1,overcast clouds
294,Port Hueneme,US,34.1478,-119.1951,65.07,80,100,12.66,overcast clouds
295,Manaus,BR,-3.1019,-60.025,79.29,94,75,2.3,broken clouds
296,Ous,RU,60.9058,61.5186,37.0,99,100,9.82,overcast clouds
297,Necochea,AR,-38.5473,-58.7368,50.63,54,0,11.97,clear sky
298,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,78.28,83,49,8.72,scattered clouds
299,Ixtapa,MX,20.7,-105.2,74.43,69,0,11.5,clear sky
300,Pangkalanbuun,ID,-2.6833,111.6167,81.57,79,41,1.74,scattered clouds
301,Berlevag,NO,70.8578,29.0864,22.8,81,100,7.49,snow
302,Muros,ES,42.7762,-9.0603,45.09,63,0,22.7,clear sky
303,Dijkot,PK,31.2167,72.9833,71.44,18,6,5.53,clear sky
304,Santa Lucia,ES,27.9117,-15.5407,55.76,82,75,6.91,broken clouds
305,Amahai,ID,-3.3333,128.9167,83.5,68,43,3.47,scattered clouds
306,Zambezi,ZM,-13.5432,23.1047,64.53,95,100,4.21,light rain
307,Khatanga,RU,71.9667,102.5,-20.81,100,92,2.75,overcast clouds
308,Hai Duong,VN,20.9333,106.3167,68.0,62,5,2.75,clear sky
309,Arroyo,ES,41.6096,-4.7969,31.59,71,0,16.11,clear sky
310,Rocha,UY,-34.4833,-54.3333,63.19,94,7,5.99,clear sky
311,Polyarnyy,RU,69.1989,33.4478,14.04,89,99,6.46,overcast clouds
312,Strathmore,CA,51.0501,-113.3852,50.86,41,100,6.91,overcast clouds
313,Omboue,GA,-1.5746,9.2618,76.71,90,100,1.61,overcast clouds
314,Cam Ranh,VN,11.9214,109.1591,78.76,69,75,20.71,broken clouds
315,Dourbali,TD,11.8091,15.8632,82.96,15,77,9.04,broken clouds
316,College,US,64.8569,-147.8028,28.22,56,40,9.22,scattered clouds
317,Comodoro Rivadavia,AR,-45.8667,-67.5,58.86,36,0,21.85,clear sky
318,Isangel,VU,-19.55,169.2667,87.91,74,75,3.44,broken clouds
319,San Policarpo,PH,12.1791,125.5072,81.88,82,34,12.93,scattered clouds
320,Puerto Del Rosario,ES,28.5004,-13.8627,62.35,82,40,4.61,scattered clouds
321,Moron,AR,-34.6534,-58.6198,64.78,95,1,6.55,clear sky
322,Karpathos,GR,35.507,27.2132,57.16,88,100,3.44,overcast clouds
323,Mago,RU,53.2514,140.1822,43.25,77,100,6.44,overcast clouds
324,Saint-Augustin,CA,51.226,-58.6502,30.31,80,99,15.99,overcast clouds
325,Manapa,PH,8.9778,125.4394,82.29,74,100,0.72,overcast clouds
326,Usak,TR,38.5,29.4167,44.24,59,84,4.29,broken clouds
327,Fort Nelson,CA,58.8053,-122.7002,38.79,48,75,8.05,broken clouds
328,Shelburne,CA,44.0787,-80.2041,33.76,90,14,8.37,few clouds
329,Pisco,PE,-13.7,-76.2167,66.25,82,0,14.97,clear sky
330,Batemans Bay,AU,-35.7167,150.1833,65.1,63,100,5.39,overcast clouds
331,Sidi Ali,DZ,36.0998,0.4206,50.0,79,100,13.67,overcast clouds
332,Loukisia,GR,38.4833,23.45,54.18,61,0,4.61,clear sky
333,Cidreira,BR,-30.1811,-50.2056,68.72,97,100,8.68,overcast clouds
334,Borogontsy,RU,62.6683,131.1683,23.23,90,100,4.59,overcast clouds
335,Faya,SA,18.3851,42.4509,59.52,38,100,1.12,overcast clouds
336,Banovici,BA,44.4053,18.5242,25.25,100,0,2.3,clear sky
337,Nago,JP,26.5881,127.9761,68.45,59,2,13.22,clear sky
338,Asau,RO,46.4333,26.4,32.92,95,100,2.73,overcast clouds
339,Ocean City,US,39.2776,-74.5746,49.01,58,21,11.99,few clouds
340,Rantepao,ID,-2.9701,119.8978,76.78,70,54,1.32,broken clouds
341,Husavik,IS,66.0449,-17.3389,26.42,91,100,8.41,light snow
342,Wanning,CN,18.8003,110.3967,70.81,69,100,11.81,overcast clouds
343,Imeni Poliny Osipenko,RU,52.4201,136.4853,39.24,89,100,14.88,overcast clouds
344,Japura,ID,-0.3167,102.35,76.66,90,25,1.74,scattered clouds
345,Mao,ES,39.8885,4.2658,48.76,57,40,17.27,scattered clouds
