City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
189,Goreloye,RU,30.81,overcast clouds,52.937,41.5043,Berendey
190,Narayangarh,IN,70.86,clear sky,30.4833,77.1333,Hotel Paris
191,Dunedin,NZ,63.81,few clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
192,Mar Del Plata,AR,57.22,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
193,Kirakira,SB,82.0,overcast clouds,-10.4544,161.9205,SanBiz Lodge
194,Biak,ID,81.59,overcast clouds,-0.9131,122.8766,Penginapan Kim
195,Kyaukse,MM,77.0,haze,21.6,96.1333,Shwe Thit Sar Guesthouse
196,Cayenne,GF,80.1,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
198,Puerto Baquerizo Moreno,EC,78.22,light rain,-0.9,-89.6,Hotel los Algarrobos
199,Jamestown,US,34.02,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
200,Norton,ZW,60.19,few clouds,-17.8833,30.7,Chingwara Mansion
201,Lulea,SE,24.87,overcast clouds,65.5842,22.1547,Comfort Hotel Arctic
202,Port Hardy,CA,44.78,light intensity shower rain,50.6996,-127.4199,Airport Inn-Port Hardy
203,Labuhan,ID,80.15,broken clouds,-6.8844,112.2051,DoubleFAG
206,Aras,ES,34.23,overcast clouds,42.5617,-2.356,Jardines de Viana Spa
207,Port Pirie,AU,69.89,clear sky,-33.1833,138.0167,John Pirie Motor Inn
208,Tshikapa,CD,71.35,light rain,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
209,Kahului,US,80.62,few clouds,20.8947,-156.47,Maui Seaside Hotel
210,Lorengau,PG,84.74,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
211,Nakhon Nayok,TH,74.37,overcast clouds,14.1667,101.1,ห้างหุ้นส่วนจำกัด เอสพีรีสอร์ท
212,Iberia,US,75.27,clear sky,29.9502,-91.7507,back to back rv park
214,Celano,IT,38.61,overcast clouds,42.0855,13.5398,Lory
215,Daru,PG,85.23,scattered clouds,-9.0763,143.2092,Daru Lodge
216,Neftcala,AZ,61.95,broken clouds,39.3742,49.2472,Otel restoran
217,Huangchuan,CN,60.13,overcast clouds,32.1272,115.0394,Guangzhou International Hotel
219,Tynda,RU,20.77,broken clouds,55.1667,124.7167,"Gostinitsa ""Tayezhnaya"""
220,Urazovo,RU,35.44,overcast clouds,50.0836,38.0395,Dvuluchenskiy Tskr
221,Osmena,PH,82.47,scattered clouds,10.5208,119.9258,Arjemarkyza Lodge
222,Kieta,PG,83.43,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
223,Jinotega,NI,69.49,clear sky,13.0917,-86.0018,Camping Piedra Grande
224,Bam,IR,72.59,overcast clouds,29.106,58.357,Bam Tourist Hotel
226,Mayo,US,48.67,scattered clouds,38.8876,-76.5119,Resorts Resource Group International
227,Ochsenfurt,DE,30.04,few clouds,49.6643,10.0623,Gasthof Bären
228,Saint-Philippe,RE,74.79,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
229,Dandong,CN,51.37,clear sky,40.1292,124.3947,Yiranju Farmstay
230,Fairbanks,US,28.24,clear sky,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
232,Gravdal,NO,29.46,overcast clouds,68.1214,13.5031,Skreda Rorbusuiter
233,Kudinovo,RU,16.9,overcast clouds,54.9994,36.2533,Solnechnyy Lug
234,Kosovska Mitrovica,XK,35.94,overcast clouds,42.8833,20.8667,BB
235,Buraydah,SA,70.25,overcast clouds,26.326,43.975,Mövenpick Qassim
236,Guerande,FR,35.02,few clouds,47.3291,-2.4283,Best Western Hôtel de la Cité
237,Weyburn,CA,48.42,few clouds,49.6668,-103.8511,Perfect Inns & Suites
238,Lakes Entrance,AU,61.32,overcast clouds,-37.8811,147.981,The Esplanade Resort & Spa
239,Geraldton,AU,73.81,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
241,Hualmay,PE,69.28,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
242,Manokwari,ID,82.78,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
244,Lasa,IT,35.69,overcast clouds,46.6166,10.7002,Pension Feldgärtenhof
246,Shingu,JP,60.89,clear sky,33.7333,135.9833,Shingu UI Hotel
247,Berdsk,RU,33.4,overcast clouds,54.7551,83.0967,Mini-Hotel Kalinina 9A
248,Dingle,PH,83.21,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
